question_id,source_split,question,gold_answer,gold_answer_text,sciq_support,review_priority,top_score,top_answer_exact,top_chapter_id,top_section_title,top_content_type,top_char_start,top_char_end,top_preview_text,m3_decision,m3_notes
sciq-test-00770,test,"No charge is actually created or destroyed when charges are separated as we have been discussing. rather, existing charges are moved about. in fact, in all situations the total amount of charge is always this?",D,constant,"No charge is actually created or destroyed when charges are separated as we have been discussing. Rather, existing charges are moved about. In fact, in all situations the total amount of charge is always constant. This universally obeyed law of nature is called the law of conservation of charge. Law of Conservation of Charge Total charge is constant in any process.",strong,1.0942,True,18,Static Electricity and Charge: Conservation of Charge,body,16289,16585,"No charge is actually created or destroyed when charges are separated as we have been discussing. Rather, existing charges are moved about. In fact, in all situations the total amount of charge is always constant. This universally obeyed law of nature is called the law of conservation of charge.",accept,Top span explicitly states that the total amount of charge is always constant; directly proves the gold answer.
sciq-test-00536,test,"What term always refers to acceleration in the direction opposite to the direction of the velocity and always reduces speed, unlike negative acceleration?",D,deceleration,"Misconception Alert: Deceleration vs. Negative Acceleration Deceleration always refers to acceleration in the direction opposite to the direction of the velocity. Deceleration always reduces speed. Negative acceleration, however, is acceleration in the negative direction in the chosen coordinate system. Negative acceleration may or may not be deceleration, and deceleration may or may not be considered negative acceleration. For example, consider Figure 2.14.",strong,1.0047,True,2,Acceleration,body,28303,28705,"Deceleration always refers to acceleration in the direction opposite to the direction of the velocity. Deceleration always reduces speed. Negative acceleration, however, is acceleration in the negative direction in the chosen coordinate system. Negative acceleration may or may not be deceleration, and deceleration may or may not be considered negative acceleration. For example, consider Figure 2.14.",accept,Top span explicitly defines deceleration as opposite to velocity and reducing speed; directly proves the gold answer.
sciq-test-00646,test,"Magnets have a ""north"" and a ""south"" what?",D,pole,"Figure 22.3 Magnets come in various shapes, sizes, and strengths. All have both a north pole and a south pole. There is never an isolated pole (a monopole).",strong,0.9977,True,22,Magnets,body,4360,4504,"Magnets come in various shapes, sizes, and strengths. All have both a north pole and a south pole. There is never an isolated pole (a monopole).",accept,Top span explicitly states magnets have both a north pole and a south pole; directly proves the gold answer.
sciq-test-00246,test,"When a car is brought to a stop by friction on level ground, it loses what?",D,kinetic energy,"How Nonconservative Forces Affect Mechanical Energy Mechanical energy may not be conserved when nonconservative forces act. For example, when a car is brought to a stop by friction on level ground, it loses kinetic energy, which is dissipated as thermal energy, reducing its mechanical energy. Figure 7.15 compares the effects of conservative and nonconservative forces. We often choose to understand simpler systems such as that described in Figure 7.15(a) first before studying more complicated systems as in Figure 7.15(b).",strong,0.9884,True,7,Nonconservative Forces,body,56101,56577,"Mechanical energy may not be conserved when nonconservative forces act. For example, when a car is brought to a stop by friction on level ground, it loses kinetic energy, which is dissipated as thermal energy, reducing its mechanical energy. Figure 7.14 compares the effects of conservative and nonconservative forces. We often choose to understand simpler systems such as that described in Figure 7.14 (a) first before studying more complicated systems as in Figure 7.14 (b).",accept,Top span explicitly states that a car stopped by friction loses kinetic energy; directly proves the gold answer.
sciq-test-00942,test,What type of bombs put a much larger fraction of their output into thermal energy than do conventional bombs?,D,nuclear,"The energy yield and the types of energy produced by nuclear bombs can be varied. Energy yields in current arsenals range from about 0.1 kT to 20 MT, although the Soviets once detonated a 67 MT device. Nuclear bombs differ from conventional explosives in more than size. Figure 32.34 shows the approximate fraction of energy output in various forms for conventional explosives and for two types of nuclear bombs. Nuclear bombs put a much larger fraction of their output into thermal energy than do conventional bombs, which tend to concentrate the energy in blast. Another difference is the immediate and residual radiation energy from nuclear weapons. This can be adjusted to put more energy into radiation (the so-called neutron bomb) so that the bomb can be used to irradiate advancing troops without killing friendly troops with blast and heat.",strong,0.9848,True,32,Nuclear Weapons,body,92941,93786,"The energy yield and the types of energy produced by nuclear bombs can be varied. Energy yields in current arsenals range from about 0.1 kT to 20 MT, although the USSR once detonated a 67 MT device. Nuclear bombs differ from conventional explosives in more than size. Figure 32.29 shows the approximate fraction of energy output in various forms for conventional explosives and for two types of nuclear bombs. Nuclear bombs put a much larger fraction of their output into thermal energy than do conventional bombs, which tend to concentrate the energy in blast. Another difference is the immediate and residual radiation energy from nuclear weapons. This can be adjusted to put more energy into radiation (the so-called neutron bomb) so that the bomb can be used to irradiate advancing troops without killing friendly troops with blast and heat.",accept,Top span explicitly states nuclear bombs put a larger fraction of output into thermal energy than conventional bombs.
sciq-test-00335,test,What do induction cooktops have under their surface?,D,electromagnets,"Induction cooktops have electromagnets under their surface. The magnetic field is varied rapidly producing eddy currents in the base of the pot, causing the pot and its contents to increase in temperature. Induction cooktops have high efficiencies and good response times but the base of the pot needs to be ferromagnetic, iron or steel for induction to work.",strong,0.979,True,23,Eddy Currents and Magnetic Damping,body,44486,44845,"Induction cooktops have electromagnets under their surface. The magnetic field is varied rapidly producing eddy currents in the base of the pot, causing the pot and its contents to increase in temperature. Induction cooktops have high efficiencies and good response times but the base of the pot needs to be ferromagnetic, iron or steel for induction to work.",accept,Top span explicitly states induction cooktops have electromagnets under their surface.
sciq-test-00333,test,"If the water vapor condenses in liquid droplets as clouds form, what is released in the atmosphere?",D,heat,"Another important example of the combination of phase change and convection occurs when water evaporates from the oceans. Heat is removed from the ocean when water evaporates. If the water vapor condenses in liquid droplets as clouds form, heat is released in the atmosphere. Thus, there is an overall transfer of heat from the ocean to the atmosphere. This process is the driving power behind thunderheads, those great cumulus clouds that rise as much as 20.0 km into the stratosphere. Water vapor carried in by convection condenses, releasing tremendous amounts of energy. This energy causes the air to expand and rise, where it is colder. More condensation occurs in these colder regions, which in turn drives the cloud even higher. Such a mechanism is called positive feedback, since the process reinforces and accelerates itself. These systems sometimes produce violent storms, with lightning and hail, and constitute the mechanism driving hurricanes.",strong,0.9779,True,14,Convection,body,74091,75047,"Another important example of the combination of phase change and convection occurs when water evaporates from the oceans. Heat is removed from the ocean when water evaporates. If the water vapor condenses in liquid droplets as clouds form, heat is released in the atmosphere. Thus, there is an overall transfer of heat from the ocean to the atmosphere. This process is the driving power behind thunderheads, those great cumulus clouds that rise as much as 20.0 km into the stratosphere. Water vapor carried in by convection condenses, releasing tremendous amounts of energy. This energy causes the air to expand and rise, where it is colder. More condensation occurs in these colder regions, which in turn drives the cloud even higher. Such a mechanism is called positive feedback, since the process reinforces and accelerates itself. These systems sometimes produce violent storms, with lightning and hail, and constitute the mechanism driving hurricanes.",accept,Top span explicitly states that heat is released when water vapor condenses into cloud droplets.
sciq-test-00465,test,"Because optics fibers are thin, entering light may strike the inside surface at greater than the critical angle, requiring attention to what?",D,refractive index,"Fiber Optics: Endoscopes to Telephones Fiber optics is one application of total internal reflection that is in wide use. In communications, it is used to transmit telephone, internet, and cable TV signals. Fiber optics employs the transmission of light down fibers of plastic or glass. Because the fibers are thin, light entering one is likely to strike the inside surface at an angle greater than the critical angle and, thus, be totally reflected (See Figure 25.14. ) The index of refraction outside the fiber must be smaller than inside, a condition that is easily satisfied by coating the outside of the fiber with a material having an appropriate refractive index. In fact, most fibers have a varying refractive index to allow more light to be guided along the fiber through total internal refraction. Rays are reflected around corners as shown, making the fibers into tiny light pipes.",strong,0.9768,True,25,Total Internal Reflection,body,34979,35830,"Fiber optics is one application of total internal reflection that is in wide use. In communications, it is used to transmit telephone, internet, and cable TV signals. Fiber optics employs the transmission of light down fibers of plastic or glass. Because the fibers are thin, light entering one is likely to strike the inside surface at an angle greater than the critical angle and, thus, be totally reflected (See Figure 25.14.) The index of refraction outside the fiber must be smaller than inside, a condition that is easily satisfied by coating the outside of the fiber with a material having an appropriate refractive index. In fact, most fibers have a varying refractive index to allow more light to be guided along the fiber through total internal reflection. Rays are reflected around corners as shown, making the fibers into tiny light pipes.",accept,Top span explains the required inside/outside index of refraction and appropriate refractive index; sufficient for the answer.
sciq-test-00116,test,"If a lump of clay is dropped into water, what will occur?",D,it will sink,"Floating and Sinking Drop a lump of clay in water. It will sink. Then mold the lump of clay into the shape of a boat, and it will float. Because of its shape, the boat displaces more water than the lump and experiences a greater buoyant force. The same is true of steel ships.",strong,0.9536,True,11,Archimedes’ Principle,body,52359,52614,"Drop a lump of clay in water. It will sink. Then mold the lump of clay into the shape of a boat, and it will float. Because of its shape, the boat displaces more water than the lump and experiences a greater buoyant force. The same is true of steel ships.",accept,Top span directly says a lump of clay dropped in water will sink.
sciq-test-00709,test,The full range of wavelengths and frequencies of electromagnetic radiation make up the ____________,D,electromagnetic spectrum,"The electromagnetic spectrum is the full range of wavelengths and frequencies of electromagnetic radiation. Wavelength, frequency, and energy change continuously across the electromagnetic spectrum.",strong,0.9421,True,24,Glossary,glossary,87524,87622,electromagnetic spectrum the full range of wavelengths or frequencies of electromagnetic radiation,accept,Top span defines electromagnetic spectrum as the full range of wavelengths or frequencies of electromagnetic radiation.
